Date,Price,Date,Open,High,Low,Close Price,Vol.,Change %,Absolute Value,volatility (in $),Daily volatilit ( in %),,,,Highest Price Ever,Lowest Price Ever,Standard Deviation,Highest Price Movement,Lowest Price Movement,Average daily Volatility ,Highest Price (prevision),Lowest Price (prevision)
05/26/2023,"4,205.45",05/26/2023,"4,156.16","4,212.87","4,156.16","4,205.45",,1.30%,1%,56.71,1.36%,,,,,,,,,,,
05/25/2023,"4,151.28",05/25/2023,"4,155.71","4,165.74","4,129.73","4,151.28",,0.88%,1%,36.01,0.87%,,,,,,,,,,,
05/24/2023,"4,115.24",05/24/2023,"4,132.96","4,132.96","4,103.98","4,115.24",,-0.73%,1%,28.98,0.70%,,,,,,,,,,,
05/23/2023,"4,145.58",05/23/2023,"4,176.80","4,185.68","4,142.54","4,145.58",,-1.12%,1%,43.14,1.03%,,,,,,,,,,,
05/22/2023,"4,192.63",05/22/2023,"4,190.78","4,209.22","4,179.68","4,192.63",,0.02%,0%,29.54,0.70%,,,,,,,,,,,
05/19/2023,"4,191.98",05/19/2023,"4,204.15","4,212.91","4,180.20","4,191.98",,-0.14%,0%,32.71,0.78%,,,,,,,,,,,
05/18/2023,"4,198.05",05/18/2023,"4,157.68","4,202.20","4,153.50","4,198.05",,0.94%,1%,48.7,1.17%,,,,,,,,,,,
05/17/2023,"4,158.77",05/17/2023,"4,122.85","4,164.67","4,113.62","4,158.77",,1.19%,1%,51.05,1.24%,,,,,,,,,,,
05/16/2023,"4,109.90",05/16/2023,"4,127.95","4,135.54","4,109.86","4,109.90",,-0.64%,1%,25.68,0.62%,,,,,,,,,,,
05/15/2023,"4,136.28",05/15/2023,"4,126.65","4,141.25","4,110.27","4,136.28",,0.30%,0%,30.98,0.75%,,,,,,,,,,,
05-12-2023,"4,124.08",05-12-2023,"4,138.54","4,143.74","4,099.12","4,124.08",,-0.16%,0%,44.62,1.08%,,,,,,,,,,,
05-11-2023,"4,130.62",05-11-2023,"4,132.24","4,132.80","4,109.29","4,130.62",,-0.17%,0%,23.51,0.57%,,,,,,,,,,,
